Código;Operadora;Porte;Região;status
335614;Samedil Servicos De Atendimento Medico S/A; 100.001 a 500.000 beneficiarios;Sudeste;ativa
335657;Advance Planos De Saude Ltda; 1 a 5.000 beneficiarios;Sudeste;ativa
335690;Unimed Campinas - Cooperativa De Trabalho M; Acima de 500.000 beneficiarios;Sudeste;ativa
335754;Associacao Dos Servidores Fiscais Do Estado; 5.001 a 10.000 beneficiarios;Nordeste;ativa
335789;Caixa De Assistencia Dos Empregados Do Bane; 5.001 a 10.000 beneficiarios;Nordeste;ativa
336017;Uniodonto De Presidente Prudente Cooperativ; 20.001 a 50.000 beneficiarios;Sudeste;ativa
336025;Uniodonto De Rondonia Cooperativa Ltda.; 1 a 5.000 beneficiarios;Norte;ativa
336106;Unimed De Marilia Cooperativa De Trabalho M; 50.001 a 100.000 beneficiarios;Sudeste;ativa
336238;Uniodonto De Monte Alto Cooperativa Odontol; 1 a 5.000 beneficiarios;Sudeste;ativa
336467;Unimed Patos - Cooperativa De Trabalho Medi; 1 a 5.000 beneficiarios;Nordeste;ativa
336831;Irmandade Santa Casa De Misericordia De Mar; 20.001 a 50.000 beneficiarios;Sul;ativa
336858;Unimed Francisco Beltrao Cooperativa De Tra; 20.001 a 50.000 beneficiarios;Sul;ativa
336874;Atemde Odonto Saude Clube De Beneficios; 5.001 a 10.000 beneficiarios;Nordeste;ativa
337188;Cooperativa De Trabalho Medico De Pouso Ale; 100.001 a 500.000 beneficiarios;Sudeste;ativa
337374;Unimed Porto Velho - Sociedade Cooperativa; 20.001 a 50.000 beneficiarios;Norte;ativa
337498;Unimed Tres Rios Cooperativa De Trabalho Me; 10.001 a 20.000 beneficiarios;Sudeste;ativa
337510;Medplan Assistencia Medica Ltda.;0;0;inativa
337561;Unimed Vale Do Carangola Cooperativa De Tra; 1 a 5.000 beneficiarios;Sudeste;ativa
337668;Unimed Sergipe - Cooperativa De Trabalho Me; 50.001 a 100.000 beneficiarios;Nordeste;ativa
337871;Unimed Rio Branco Cooperativa De Trabalho M; 20.001 a 50.000 beneficiarios;Norte;ativa
338346;Sulmed - Assistencia Medica Ltda; 20.001 a 50.000 beneficiarios;Sul;ativa
338648;Fundacao Sanepar De Assistencia Social; 20.001 a 50.000 beneficiarios;Sul;ativa
339245;Santamalia Saude S.A.;0;0;inativa
339270;Celulose Nipo-Brasileira S/A - Cenibra; 10.001 a 20.000 beneficiarios;Sudeste;ativa
339458;Dental Center Ltda; 50.001 a 100.000 beneficiarios;Nordeste;ativa
339601;Agemed Saude Ltda - Em Liquidacao Extrajudi;0;0;inativa
339636;Fundacao De Assistencia E Previdencia Socia; 10.001 a 20.000 beneficiarios;Sudeste;ativa
339679;Unimed Nacional - Cooperativa Central; Acima de 500.000 beneficiarios;Sudeste;ativa
339954;Fundacao Sao Francisco Xavier; 100.001 a 500.000 beneficiarios;Sudeste;ativa
340120;Uniodonto Athenas Paulista - Cooperativa Od; 10.001 a 20.000 beneficiarios;Sudeste;ativa
340146;Associacao Auxiliadora Das Classes Laborios;0;0;inativa
340162;Samig - Serv. De Assistencia Medica Da Ilha; 1 a 5.000 beneficiarios;Sudeste;ativa
340251;Unimed Extremo Oeste Catarinense Cooperativ; 10.001 a 20.000 beneficiarios;Sul;ativa
340782;Clinipam Clinica Paranaense De Assistencia; 100.001 a 500.000 beneficiarios;Sul;ativa
340952;Unimed Caruaru-Cooperativa De Trabalho Medi; 50.001 a 100.000 beneficiarios;Nordeste;ativa
341819;Unimed Alto Paranaiba Cooperativa De Trabal; 1 a 5.000 beneficiarios;Sudeste;ativa
341894;Uniodonto Fronteira Oeste/Rs Cooperativa Od; 5.001 a 10.000 beneficiarios;Sul;ativa
341941;Hospital De Prontoclinica Ltda.; 5.001 a 10.000 beneficiarios;Sul;ativa
342033;Samp Espirito Santo Assistencia Medica Sa; Acima de 500.000 beneficiarios;Sudeste;ativa
342084;Unimed Cuiaba Cooperativa De Trabalho Medic; 100.001 a 500.000 beneficiarios;Centro Oeste;ativa
342131;Unimed Vilhena - Cooperativa De Trabalho Me; 10.001 a 20.000 beneficiarios;Norte;ativa
342157;Unimed Morrinhos Cooperativa De Trabalho Me; 1 a 5.000 beneficiarios;Centro Oeste;ativa
342203;Uniodonto De Sc Cooperativa Administradora; 50.001 a 100.000 beneficiarios;Sul;ativa
342335;Cooperativa Odontologica De Garanhuns E Agr; 5.001 a 10.000 beneficiarios;Nordeste;ativa
342343;Unimed De Pindamonhangaba - Cooperativa Tra; 5.001 a 10.000 beneficiarios;Sudeste;ativa
342386;Unimed Regional De Tres Lagoas Cooperativa; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
342556;Associacao Dr. Bartholomeu Tacchini; 50.001 a 100.000 beneficiarios;Sul;ativa
342611;Economus Instituto De Seguridade Social; 20.001 a 50.000 beneficiarios;Sudeste;ativa
342807;Santa Casa De Misericordia De Juiz De Fora; 50.001 a 100.000 beneficiarios;Sudeste;ativa
342955;Hsmed Saude Ltda; 1 a 5.000 beneficiarios;Sudeste;ativa
343056;Uniodonto Jacarei Cooperativa Odontologica; 20.001 a 50.000 beneficiarios;Sudeste;ativa
343064;Garantia De Saude Ltda; 10.001 a 20.000 beneficiarios;Sudeste;ativa
343129;Associacao Dos Professores Universitarios D; 1 a 5.000 beneficiarios;Nordeste;ativa
343153;Unimed Sousa - Cooperativa De Trabalho Medi; 1 a 5.000 beneficiarios;Nordeste;ativa
343269;Unimed De Londrina Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sul;ativa
343331;Caixa De Assistencia Dos Empregados Do Sist; 5.001 a 10.000 beneficiarios;Sudeste;ativa
343404;Uniodonto De Mato Grosso Coop Trab Odontolo; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
343463;Plamed Plano De Assistencia Medica Ltda; 20.001 a 50.000 beneficiarios;Nordeste;ativa
343676;Samoc S.A. - Sociedade Assistencial Medica; 10.001 a 20.000 beneficiarios;Sudeste;ativa
343684;Unimed Alto Da Serra - Sociedade Cooperativ; 10.001 a 20.000 beneficiarios;Sul;ativa
343722;Unimed Ponte Nova Cooperativa De Trabalho M; 1 a 5.000 beneficiarios;Sudeste;ativa
343731;Unimed-Sao Goncalo - Niteroi - Soc.Coop.Ser; 100.001 a 500.000 beneficiarios;Sudeste;ativa
343765;Unimed Caldas Novas - Cooperativa De Trabal; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
343889;Unimed Belo Horizonte Cooperativa De Trabal; Acima de 500.000 beneficiarios;Sudeste;ativa
343919;Uniodonto Cooperativa Odontologica Do Serid; 1 a 5.000 beneficiarios;Nordeste;ativa
344095;Sisdente - Sistema Integrado De Saude Denta; 1 a 5.000 beneficiarios;Sudeste;ativa
344141;Unimed Cajazeiras - Sociedade Cooperativa D; 1 a 5.000 beneficiarios;Nordeste;ativa
344184;Caixa De Assistencia Dos Empregados Do Seto; 1 a 5.000 beneficiarios;Centro Oeste;ativa
344362;Sao Lucas Saude S/A; 50.001 a 100.000 beneficiarios;Sudeste;ativa
344397;Unimed Nova Iguacu Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Sudeste;ativa
344443;Vidaplan Saude Ltda.; 1 a 5.000 beneficiarios;Sudeste;ativa
344451;Uniodonto Regional Cooperativa Odontologica; 100.001 a 500.000 beneficiarios;Sudeste;ativa
344486;Odontobase Planos De Saude Ltda.; 10.001 a 20.000 beneficiarios;Sudeste;ativa
344681;Uniodonto De Lins Cooperativa Odontologica; 5.001 a 10.000 beneficiarios;Sudeste;ativa
344729;Unimed Varginha Cooperativa De Trabalho Med; 20.001 a 50.000 beneficiarios;Sudeste;ativa
344788;Unimed De Corumba Cooperativa De Trabalho M; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
344800;Alvorecer - Associacao De Socorros Mutuos; 50.001 a 100.000 beneficiarios;Sudeste;ativa
344885;Unimed Recife Cooperativa De Trabalho Medic; 100.001 a 500.000 beneficiarios;Nordeste;ativa
344915;Santa Casa De Misericordia E Asilo Dos Pobr; 1 a 5.000 beneficiarios;Sudeste;ativa
345091;Santa Casa De Misericordia De Sao Joaquim D; 20.001 a 50.000 beneficiarios;Sudeste;ativa
345270;Unimed Do Abc - Cooperativa De Trabalho Med;0;0;inativa
345318;Uniodonto/Rn - Cooperativa Odontologica Do; 50.001 a 100.000 beneficiarios;Nordeste;ativa
345458;Unimed Lavras Cooperativa De Trabalho Medic; 20.001 a 50.000 beneficiarios;Sudeste;ativa
345474;Servico Federal De Processamento De Dados (; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
345598;Unimed Amparo Cooperativa De Trabalho Medic; 50.001 a 100.000 beneficiarios;Sudeste;ativa
345695;Vale S/A; 100.001 a 500.000 beneficiarios;Sudeste;ativa
345709;Unimed Conselheiro Lafaiete Cooperativa De; 20.001 a 50.000 beneficiarios;Sudeste;ativa
345741;Irmandade Santa Casa De Misericordia De Ita;0;0;inativa
345776;Unimed De Birigui - Cooperativa De Trabalho; 10.001 a 20.000 beneficiarios;Sudeste;ativa
346004;Uniodonto Piracicaba - Cooperativa Odontolo; 50.001 a 100.000 beneficiarios;Sudeste;ativa
346209;Unimed Extremo Sul Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Nordeste;ativa
346276;Unimed Salto/Itu - Cooperativa Medica; 50.001 a 100.000 beneficiarios;Sudeste;ativa
346659;Caixa De Assistencia Dos Funcionarios Do Ba; Acima de 500.000 beneficiarios;Centro Oeste;ativa
346870;Porto Alegre Clinicas Ltda. - Em Liquidacao;0;0;inativa
346926;Fundacao Assistencial Dos Servidores Do Min; 50.001 a 100.000 beneficiarios;Centro Oeste;ativa
346951;Unimed Cacador Cooperativa De Trabalho Medi; 10.001 a 20.000 beneficiarios;Sul;ativa
347108;Unimed De Barretos Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sudeste;ativa
347183;Uniodonto De Campo Grande Sist. Nac. Coop.; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
347230;Unimed Ilheus Cooperativa De Trabalho Medic;0;0;inativa
347302;Uniodonto De Cacapava Cooperativa Odontolog; 5.001 a 10.000 beneficiarios;Sudeste;ativa
347477;Uniodonto De Botucatu Cooperativa Odontolog; 10.001 a 20.000 beneficiarios;Sudeste;ativa
347507;Unimed Centro Rondonia Cooperativa De Traba; 20.001 a 50.000 beneficiarios;Norte;ativa
347604;Uniodonto De Americana Cooperativa Odontolo; 50.001 a 100.000 beneficiarios;Sudeste;ativa
347655;Irmandade Da Santa Casa De Misericordia De; 20.001 a 50.000 beneficiarios;Sudeste;ativa
347736;Unimed Caratinga - Cooperativa De Trabalho; 10.001 a 20.000 beneficiarios;Sudeste;ativa
347795;Uniodonto De Jundiai Cooperativa Odontologi; 20.001 a 50.000 beneficiarios;Sudeste;ativa
347825;Caixa Assistencial Universitaria Do Rio De; 1 a 5.000 beneficiarios;Sudeste;ativa
348082;Unimed Anhanguera Cooperativa De Trabalho M; 20.001 a 50.000 beneficiarios;Sudeste;ativa
348180;Humana Saude Ltda.; 100.001 a 500.000 beneficiarios;Sul;ativa
348244;Unimed De Brusque Cooperativa De Trabalho M; 10.001 a 20.000 beneficiarios;Sul;ativa
348261;Unimed Alto Sao Francisco Cooperativa De Tr; 20.001 a 50.000 beneficiarios;Sudeste;ativa
348295;Unimed Sorocaba Cooperativa De Trabalho Med; 100.001 a 500.000 beneficiarios;Sudeste;ativa
348520;Notre Dame Intermedica Minas Gerais Saude S; Acima de 500.000 beneficiarios;Sudeste;ativa
348830;Plena Saude S.A.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
348899;Unimed Centro Sul Do Ceara - Cooperativa De;0;0;inativa
349011;Uniodonto De Rio Claro Cooperativa Odontolo; 5.001 a 10.000 beneficiarios;Sudeste;ativa
349283;Uniodonto De Aracaju Coop De Trabalho Odont; 1 a 5.000 beneficiarios;Nordeste;ativa
349291;Mais Dental Planos Odontologicos Ltda; 5.001 a 10.000 beneficiarios;Sudeste;ativa
349534;Unimed Sete Lagoas Cooperativa Trabalho Med;0;0;inativa
349682;Doctor Clin Operadora De Planos De Saude Lt; 100.001 a 500.000 beneficiarios;Sul;ativa
349712;Unimed Ponta Grossa Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sul;ativa
349739;Unimed Alegrete/Rs - Sociedade Cooperativa;0;0;inativa
350141;Parana Clinicas - Planos De Saude S/A; 50.001 a 100.000 beneficiarios;Sul;ativa
350249;H.B. Saude S/A.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
350290;Uniodonto De Taquaritinga Cooperativa Odont; 1 a 5.000 beneficiarios;Sudeste;ativa
350346;Unimed Caceres Cooperativa De Trabalho Medi; 1 a 5.000 beneficiarios;Centro Oeste;ativa
350371;Unimed Do Sudoeste Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Nordeste;ativa
350494;Uniodonto De Campinas Cooperativa Odontolog; Acima de 500.000 beneficiarios;Sudeste;ativa
350630;Uniodonto De Votuporanga Cooperativa Odonto; 10.001 a 20.000 beneficiarios;Sudeste;ativa
350648;Unimed Regiao Da Campanha/Rs - Cooperativa; 5.001 a 10.000 beneficiarios;Sul;ativa
350699;Centro Hospitalar Atibaia Ltda.; 20.001 a 50.000 beneficiarios;Sudeste;ativa
350770;Uniodonto De Londrina Coop. Odontologica; 20.001 a 50.000 beneficiarios;Sul;ativa
351202;Unimed De Ribeirao Preto - Cooperativa De T; 100.001 a 500.000 beneficiarios;Sudeste;ativa
351270;Poli Saude Operadora De Plano De Saude Ltda; 10.001 a 20.000 beneficiarios;Sul;ativa
351351;Multi - Bucal Odontologia Ltda - Ltda; 5.001 a 10.000 beneficiarios;Sudeste;ativa
351407;Unimed De Catanduva - Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
351628;Wm Administracao De Planos Odontologicos Lt; 1 a 5.000 beneficiarios;Sul;ativa
351776;Unimed De Registro Cooperativa De Trabalho; 5.001 a 10.000 beneficiarios;Sudeste;ativa
351792;Unimed Foz Do Iguacu Cooperativa Trabalho M;0;0;inativa
352152;Arm Planos Odontologicos Ltda.; 10.001 a 20.000 beneficiarios;Sudeste;ativa
352179;Unimed Fronteira Noroeste/Rs - Cooperativa; 20.001 a 50.000 beneficiarios;Sul;ativa
352314;Unimed Joao Monlevade Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
352331;Caixa Beneficente Dos Funcionarios Do Banco; 20.001 a 50.000 beneficiarios;Sudeste;ativa
352501;Unimed Porto Alegre - Cooperativa Medica Lt; Acima de 500.000 beneficiarios;Sul;ativa
352519;Unimed Alto Jacui/Rs - Cooperativa De Assis; 5.001 a 10.000 beneficiarios;Sul;ativa
352543;Unimed Maranhao Do Sul - Cooperativa De Tra; 50.001 a 100.000 beneficiarios;Nordeste;ativa
352586;Sistemas E Planos De Saude Ltda.; 50.001 a 100.000 beneficiarios;Sudeste;ativa
352683;Unimed De Campos Cooperativa De Trabalho Me; 20.001 a 50.000 beneficiarios;Sudeste;ativa
352888;Nuclebras Equipamentos Pesados S/A - Nuclep; 1 a 5.000 beneficiarios;Sudeste;ativa
353027;Unimed Sul Paulista - Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
353060;Unimed Patos De Minas Cooperativa Trabalho; 50.001 a 100.000 beneficiarios;Sudeste;ativa
353264;Santa Casa De Misericordia Hospital Sao Vic; 5.001 a 10.000 beneficiarios;Sudeste;ativa
353353;Unimed Teresina - Cooperativa De Trabalho M; 100.001 a 500.000 beneficiarios;Nordeste;ativa
353477;Cooperativa De Assistencia Odontologica Val; 1 a 5.000 beneficiarios;Sul;ativa
353663;Unimed Norte Do Mato Grosso Cooperativa De; 100.001 a 500.000 beneficiarios;Centro Oeste;ativa
353698;Unimed Regiao Da Producao/Rs - Cooperativa; 1 a 5.000 beneficiarios;Sul;ativa
353752;Uniodonto Coop Odont Vale Taquari E Rio Par; 10.001 a 20.000 beneficiarios;Sul;ativa
353761;Empresa Brasileira De Correios E Telegrafos;0;0;inativa
353876;Unimed Pontal Do Triângulo - Cooperativa De; 10.001 a 20.000 beneficiarios;Sudeste;ativa
353892;Cooperciso - Centro Integrado De Servico Od; 5.001 a 10.000 beneficiarios;Sudeste;ativa
354031;Unimed Sao Carlos - Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sudeste;ativa
354066;Unimed Uberaba Cooperativa De Trabalho Medi; 100.001 a 500.000 beneficiarios;Sudeste;ativa
354279;Unimed De Lins - Cooperativa De Trabalhos M; 10.001 a 20.000 beneficiarios;Sudeste;ativa
354295;Unimed Chapeco - Cooperativa De Trabalho Me; 50.001 a 100.000 beneficiarios;Sul;ativa
354325;Unimed Araguari Cooperativa De Trabalho Med; 10.001 a 20.000 beneficiarios;Sudeste;ativa
354511;Operadora Unieste De Planos De Saude Ltda; 10.001 a 20.000 beneficiarios;Sudeste;ativa
354562;Irmandade Da Santa Casa De Misericordia De; 50.001 a 100.000 beneficiarios;Sudeste;ativa
354619;Unimed De Sao Jose Do Rio Pardo-Coop. De Tr; 5.001 a 10.000 beneficiarios;Sudeste;ativa
354627;Unimed De Cianorte - Cooperativa De Trabalh; 10.001 a 20.000 beneficiarios;Sul;ativa
354678;Unimed Machado Cooperativa De Trabalho Medi; 5.001 a 10.000 beneficiarios;Sudeste;ativa
354686;Uniodonto De Catanduva Cooperativa Odontolo; 10.001 a 20.000 beneficiarios;Sudeste;ativa
354783;Unimed Franca - Sociedade Cooperativa De Se; 50.001 a 100.000 beneficiarios;Sudeste;ativa
354996;Unimed Alfenas Cooperativa De Trabalho Medi; 10.001 a 20.000 beneficiarios;Sudeste;ativa
355097;Santa Helena Assistencia Medica S/A.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
355151;Fundacao Copel De Previdencia E Assistencia; 20.001 a 50.000 beneficiarios;Sul;ativa
355577;Unimed De Guaratingueta-Cooperativa De Trab; 10.001 a 20.000 beneficiarios;Sudeste;ativa
355593;Unimed Patrocinio Cooperativa De Trabalho M; 10.001 a 20.000 beneficiarios;Sudeste;ativa
355691;Unimed Do Estado De Santa Catarina Fed. Est; 100.001 a 500.000 beneficiarios;Sul;ativa
355721;Unimed De Santos Coop De Trab Medico; 100.001 a 500.000 beneficiarios;Sudeste;ativa
356123;Unimed Do Cariri - Sociedade Cooperativa Me; 20.001 a 50.000 beneficiarios;Nordeste;ativa
356417;Unimed Vale Do Sinos - Cooperativa De Assis; 100.001 a 500.000 beneficiarios;Sul;ativa
356476;Sim - Caixa De Assistencia a Saude; 10.001 a 20.000 beneficiarios;Sul;ativa
356581;Unimed Itauna Cooperativa De Trabalho Medic; 20.001 a 50.000 beneficiarios;Sudeste;ativa
357022;Unimed Erechim - Cooperativa De Servicos De; 20.001 a 50.000 beneficiarios;Sul;ativa
357138;Unimed Centro Oeste Paulista - Federacao In; 1 a 5.000 beneficiarios;Sudeste;ativa
357260;Unimed Noroeste/Rs - Sociedade Cooperativa; 50.001 a 100.000 beneficiarios;Sul;ativa
357391;Unimed Vitoria Cooperativa De Trabalho Medi; 100.001 a 500.000 beneficiarios;Sudeste;ativa
357511;Humana Saude Nordeste Ltda.; 100.001 a 500.000 beneficiarios;Nordeste;ativa
357669;Desban - Fundacao Bdmg De Seguridade Social; 1 a 5.000 beneficiarios;Sudeste;ativa
357715;Unimed De Mineiros Cooperativa De Trabalho; 5.001 a 10.000 beneficiarios;Centro Oeste;ativa
358053;Select Operadora De Plano De Saude Ltda; 50.001 a 100.000 beneficiarios;Centro Oeste;ativa
358088;Unimed Leste Paulista Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
358096;Unimed Apucarana Cooperativa De Trabalho Me; 20.001 a 50.000 beneficiarios;Sul;ativa
358282;Unimed Norte Do Parana Cooperativa Regional; 5.001 a 10.000 beneficiarios;Sul;ativa
358339;Uniodonto Do Sul Goiano Cooperativa Odontol; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
358436;Uniodonto Goiania Cooperativa De Cirurgioes; 100.001 a 500.000 beneficiarios;Centro Oeste;ativa
358754;Caixa De Assistencia Dos Funcionarios Do Ba; 5.001 a 10.000 beneficiarios;Norte;ativa
359017;Notre Dame Intermedica Saude S.A.; Acima de 500.000 beneficiarios;Sudeste;ativa
359033;Unimed Tres Coracoes Cooperativa De Trabalh; 10.001 a 20.000 beneficiarios;Sudeste;ativa
359122;Caixa De Assistencia Dos Servidores Fazenda; 5.001 a 10.000 beneficiarios;Nordeste;ativa
359289;Unimed Vale Do Aco Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Sudeste;ativa
359394;Integral Servicos Odontologicos Ltda.; 10.001 a 20.000 beneficiarios;Sudeste;ativa
359459;Cooperativa Dos Cirurgioes Dentistas Do Est; 1 a 5.000 beneficiarios;Nordeste;ativa
359661;Omint Servicos De Saude S.A.; 100.001 a 500.000 beneficiarios;Sudeste;ativa
359726;Uniodonto De Tres Rios - Cooperativa De Tra; 1 a 5.000 beneficiarios;Sudeste;ativa
359777;Unimed Rondonopolis Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Centro Oeste;ativa
360244;Plano De Saude Ana Costa Ltda.; 50.001 a 100.000 beneficiarios;Sudeste;ativa
360414;Unimed Noroeste Fluminense - Cooperativa De; 5.001 a 10.000 beneficiarios;Sudeste;ativa
360449;Unimed Grande Florianopolis-Cooperativa De; 100.001 a 500.000 beneficiarios;Sul;ativa
360783;Associacao De Saude Holambra; 1 a 5.000 beneficiarios;Sudeste;ativa
361011;Sindifisco Nacional - Sindicato Nacional Do; 20.001 a 50.000 beneficiarios;Centro Oeste;ativa
361461;Vivacom Planos De Saude; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
361518;Unimed Betim Cooperativa De Trabalho Medico;0;0;inativa
361569;Uniodonto De Joao Pessoa Cooperativa Odonto; 50.001 a 100.000 beneficiarios;Nordeste;ativa
361593;Uniodonto Paulista-Federacao Das Cooperativ; 100.001 a 500.000 beneficiarios;Sudeste;ativa
361615;Unimed De Paranagua Cooperativa De Trabalho; 20.001 a 50.000 beneficiarios;Sul;ativa
361941;Unimed De Tatui - Cooperativa De Trabalho M; 20.001 a 50.000 beneficiarios;Sudeste;ativa
362140;Unimed Oeste Do Para - Cooperativa De Traba; 20.001 a 50.000 beneficiarios;Norte;ativa
362573;Unimed De Uba Cooperativa De Trabalho Medic; 10.001 a 20.000 beneficiarios;Sudeste;ativa
362620;Unimed Santos Dumont Sociedade Cooperativa;0;0;inativa
362824;Uniodonto De Aracatuba Cooperativa Odontolo; 1 a 5.000 beneficiarios;Sudeste;ativa
362832;Unimed Planalto Central/Rs - Cooperativa De; 5.001 a 10.000 beneficiarios;Sul;ativa
362921;Dix Assistencia Medica Ltda;0;0;inativa
363189;Hospital S.P. Ltda.; 1 a 5.000 beneficiarios;Sul;ativa
363286;Unimed De Taubate Cooperativa De Trabalho M; 5.001 a 10.000 beneficiarios;Sudeste;ativa
363391;Plano Assistencial Sao Lucas Ltda; 5.001 a 10.000 beneficiarios;Sudeste;ativa
363766;Casa De Saude Sao Bernardo Ltda;0;0;inativa
363855;Caixa De Assistencia Dos Empregados Da Sane; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
364070;Unimed Tres Pontas - Cooperativa De Trabalh; 10.001 a 20.000 beneficiarios;Sudeste;ativa
364312;Unimed De Araraquara - Coop. De Trab. Medic; 50.001 a 100.000 beneficiarios;Sudeste;ativa
364584;Unimed De Volta Redonda Cooperativa De Trab; 50.001 a 100.000 beneficiarios;Sudeste;ativa
364592;Leader Assistencia Medica E Hospitalar Ltda; 10.001 a 20.000 beneficiarios;Sudeste;ativa
364860;Unimed De Tubarao - Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Sul;ativa
365238;Unimed De Ibitinga Cooperativa De Trabalho; 10.001 a 20.000 beneficiarios;Sudeste;ativa
365297;Assistencia Odontologica Especializada Ltda; 5.001 a 10.000 beneficiarios;Nordeste;ativa
365530;Unimed De Tupa Cooperativa De Trabalho Medi; 10.001 a 20.000 beneficiarios;Sudeste;ativa
365645;Dona Saude Clinicas Ltda; 10.001 a 20.000 beneficiarios;Sudeste;ativa
365777;Unimed Noroeste Do Parana Coop De Trabalho; 20.001 a 50.000 beneficiarios;Sul;ativa
365785;Cooperativa Odontologica Do Estado Do Amapa; 20.001 a 50.000 beneficiarios;Norte;ativa
366064;Unimed Norte Pioneiro - Cooperativa De Trab; 10.001 a 20.000 beneficiarios;Sul;ativa
366145;Unimed Sul Do Para Cooperativa De Trabalho;0;0;inativa
366234;Itaipu Binacional; 5.001 a 10.000 beneficiarios;Sul;ativa
366340;Unimed De Capivari -Cooperativa De Trabalho; 10.001 a 20.000 beneficiarios;Sudeste;ativa
366439;Uniodonto Porto Alegre Cooperativa Odontolo; 100.001 a 500.000 beneficiarios;Sul;ativa
366510;Oral Saude De Ibitinga Servicos Odontologic; 1 a 5.000 beneficiarios;Sudeste;ativa
366561;Bensaude Plano De Assistencia Medica Hospit; 50.001 a 100.000 beneficiarios;Sudeste;ativa
366871;Petroleo Brasileiro S.A.-Petrobras;0;0;inativa
367087;Cooperativa Central Unimed De Cooperativas; 50.001 a 100.000 beneficiarios;Sul;ativa
367095;Samel Plano De Saude Ltda; 100.001 a 500.000 beneficiarios;Norte;ativa
367397;Unimed Campina Grande - Cooperativa De Trab; 20.001 a 50.000 beneficiarios;Nordeste;ativa
367613;Unimed Campo Belo- Cooperativa De Trabalho; 5.001 a 10.000 beneficiarios;Sudeste;ativa
367966;Uniodonto Rio Grande-Litoral Cooperativa Od; 5.001 a 10.000 beneficiarios;Sul;ativa
368148;Unimed Muriae Cooperativa De Trabalho Medic; 5.001 a 10.000 beneficiarios;Sudeste;ativa
368181;Croe - Centro De Reabilitacao Oral Especial; 1 a 5.000 beneficiarios;Sudeste;ativa
368253;Hapvida Assistencia Medica S.A.; Acima de 500.000 beneficiarios;Nordeste;ativa
368555;Uniodonto Belem - Cooperativa De Assistenci; 100.001 a 500.000 beneficiarios;Norte;ativa
368920;Agros - Instituto Ufv De Seguridade Social; 10.001 a 20.000 beneficiarios;Sudeste;ativa
369292;Unimed De Santa Barbara D'Oeste E Americana; 50.001 a 100.000 beneficiarios;Sudeste;ativa
369373;Humana Saude Sul Ltda.;0;0;inativa
369411;Unimed De Aracatuba - Cooperativa De Trabal; 20.001 a 50.000 beneficiarios;Sudeste;ativa
369462;Uniodonto De Limeira Cooperativa Odontologi; 10.001 a 20.000 beneficiarios;Sudeste;ativa
369659;Unimed De Bauru Cooperativa De Trabalho Med; 100.001 a 500.000 beneficiarios;Sudeste;ativa
370070;Unimed De Cascavel Cooperativa De Trabalho; 100.001 a 500.000 beneficiarios;Sul;ativa
370088;Unimed Sao Lourenco Cooperativa De Trabalho; 50.001 a 100.000 beneficiarios;Sudeste;ativa
370525;Fundacao Sistel De Seguridade Social;0;0;inativa
370568;Uniodonto Uberaba - Cooperativa De Assisten; 20.001 a 50.000 beneficiarios;Sudeste;ativa
370592;Funasa Saude; 1 a 5.000 beneficiarios;Nordeste;ativa
370681;Unimed Pato Branco Sociedade Cooperativa De; 20.001 a 50.000 beneficiarios;Sul;ativa
370711;Uniodonto Espirito Santo Cooperativa Odonto; 20.001 a 50.000 beneficiarios;Sudeste;ativa
370975;Unimed Vale Do Jauru Cooperativa De Trabalh; 10.001 a 20.000 beneficiarios;Centro Oeste;ativa
371106;Unimed Costa Oeste - Cooperativa De Trabalh; 50.001 a 100.000 beneficiarios;Sul;ativa
371254;Unimed Regional Maringa Coop.De Trabalho Me; 100.001 a 500.000 beneficiarios;Sul;ativa
371564;Unimed Frutal Cooperativa De Trabalho Medic; 10.001 a 20.000 beneficiarios;Sudeste;ativa
